Id;SourceSite;
1;https://eygermany.sharepoint.com/sites/eyimdARG-0017357-MM;
2;https://eyus.sharepoint.com/sites/eyimdUSA-0010312-MM;
3;https://eycanada.sharepoint.com/sites/eyimdCAN-0014883-MM;
4;https://eygermany.sharepoint.com/sites/eyimdARG-0013212-MC;
5;https://eygermany.sharepoint.com/sites/eyimdBRA-0014200-MC;
6;https://eygermany.sharepoint.com/sites/eyimdBRA-0001629-MC;
7;https://eyaustralia.sharepoint.com/sites/eyimdAUS-0006187-MC;
8;https://sites.ey.com/sites/eyimdITA-0021982-MC;
9;https://sites.ey.com/sites/eyimdITA-0021996-MC;
10;https://sites.ey.com/sites/eyimdITA-0012319-MC;
11;https://sites.ey.com/sites/eyimdITA-0021989-MC;
12;https://sites.ey.com/sites/eyimdITA-0022000-MC;
13;https://eyus.sharepoint.com/sites/eyimdUSA-2000941-MC;
14;https://eyus.sharepoint.com/sites/eyimdUSA-2001057-MC;
15;https://eyus.sharepoint.com/sites/eyimdUSA-2018445-MC;
16;https://eyus.sharepoint.com/sites/eyimdUSA-0015778-C;
17;https://eycanada.sharepoint.com/sites/eyimdCAN-0006089-MC;
18;https://eyus.sharepoint.com/sites/eyimdUSA-0053190-MM;
19;https://eyus.sharepoint.com/sites/eyimdUSA-0038431-MM;
20;https://eyus.sharepoint.com/sites/eyimdUSA-0050438-MM;
21;https://eyapc.sharepoint.com/sites/eyimdGUM-0010686-MC;
22;https://eygb.sharepoint.com/sites/eyimdGBR-0003845-MC;
23;https://eyus.sharepoint.com/sites/eyimdUSA-2003372-MC;
24;https://eyus.sharepoint.com/sites/eyimdUSA-0007110-C;
25;https://eyus.sharepoint.com/sites/eyimdUSA-0018365-MC;
26;https://eyus.sharepoint.com/sites/eyimdUSA-0016327-MC;
27;https://eyaustralia.sharepoint.com/sites/eyimdAUS-0002332-MC;
28;https://eyus.sharepoint.com/sites/eyimdUSA-2003366-MC;
29;https://eyus.sharepoint.com/sites/eyimdUSA-2004045-MC;
30;https://eyus.sharepoint.com/sites/eyimdUSA-0022776-MC;
31;https://eyus.sharepoint.com/sites/eyimdUSA-2018510-MC;
32;https://eygb.sharepoint.com/sites/eyimdGBR-0003906-MC;
33;https://eyaustralia.sharepoint.com/sites/eyimdAUS-0003210-MC;
34;https://eygermany.sharepoint.com/sites/eyimdCZE-0018244-MM;
35;https://eygermany.sharepoint.com/sites/eyimdARG-0004509-MC;
36;https://eygermany.sharepoint.com/sites/eyimdARG-0004111-MC;
