"Site Title","Site URL","Item Count","Last Modified","List URL","List-Library Name","Created By"
"Test Migration 1","http://spfarm.eastus2.cloudapp.azure.com/sites/TestMigration1","0","4/27/2021 2:26:48 PM","http://spfarm.eastus2.cloudapp.azure.com/sites/TestMigration1/Shared Documents","Documents","System Account"
"Test Migration 1","http://spfarm.eastus2.cloudapp.azure.com/sites/TestMigration1","0","4/27/2021 2:26:44 PM","http://spfarm.eastus2.cloudapp.azure.com/sites/TestMigration1/FormServerTemplates","Form Templates","System Account"
"Test Migration 1","http://spfarm.eastus2.cloudapp.azure.com/sites/TestMigration1","2","4/27/2021 2:26:48 PM","http://spfarm.eastus2.cloudapp.azure.com/sites/TestMigration1/SitePages","Site Pages","System Account"
"Test Migration 1","http://spfarm.eastus2.cloudapp.azure.com/sites/TestMigration1","5","4/27/2021 2:26:36 PM","http://spfarm.eastus2.cloudapp.azure.com/sites/TestMigration1/Style Library","Style Library","CONTOSO\migadmin"
"MigrateSubsite","http://spfarm.eastus2.cloudapp.azure.com/sites/TestMigration1/TM1Subsite1","0","4/27/2021 4:44:05 PM","http://spfarm.eastus2.cloudapp.azure.com/sites/TestMigration1/TM1Subsite1/Shared Documents","Documents","CONTOSO\migadmin"
"MigrateSubsite","http://spfarm.eastus2.cloudapp.azure.com/sites/TestMigration1/TM1Subsite1","2","4/27/2021 4:44:16 PM","http://spfarm.eastus2.cloudapp.azure.com/sites/TestMigration1/TM1Subsite1/SitePages","Site Pages","CONTOSO\migadmin"
"MigrateSubsite","http://spfarm.eastus2.cloudapp.azure.com/sites/TestMigration1/TM1Subsite1","10","4/27/2021 4:44:15 PM","http://spfarm.eastus2.cloudapp.azure.com/sites/TestMigration1/TM1Subsite1/TestLib1","TestLib1","CONTOSO\migadmin"
"MigrateSubsite","http://spfarm.eastus2.cloudapp.azure.com/sites/TestMigration1/TM1Subsite1","30","4/27/2021 4:44:11 PM","http://spfarm.eastus2.cloudapp.azure.com/sites/TestMigration1/TM1Subsite1/TestLib2","TestLib2","CONTOSO\migadmin"
"MigrateSubsite","http://spfarm.eastus2.cloudapp.azure.com/sites/TestMigration1/TM1Subsite1","2","4/27/2021 4:44:02 PM","http://spfarm.eastus2.cloudapp.azure.com/sites/TestMigration1/TM1Subsite1/Lists/TestList1","TestList1","CONTOSO\migadmin"
"TM1 Subsite 3","http://spfarm.eastus2.cloudapp.azure.com/sites/TestMigration1/TM1Subsite3","0","4/29/2021 6:25:48 PM","http://spfarm.eastus2.cloudapp.azure.com/sites/TestMigration1/TM1Subsite3/Shared Documents","Documents","CONTOSO\migadmin"
"TM1 Subsite 3","http://spfarm.eastus2.cloudapp.azure.com/sites/TestMigration1/TM1Subsite3","2","4/29/2021 6:25:33 PM","http://spfarm.eastus2.cloudapp.azure.com/sites/TestMigration1/TM1Subsite3/SitePages","Site Pages","CONTOSO\migadmin"
"TM1 Subsite 3","http://spfarm.eastus2.cloudapp.azure.com/sites/TestMigration1/TM1Subsite3","10","4/29/2021 6:25:47 PM","http://spfarm.eastus2.cloudapp.azure.com/sites/TestMigration1/TM1Subsite3/TestLib1","TestLib1","CONTOSO\migadmin"
"TM1 Subsite 3","http://spfarm.eastus2.cloudapp.azure.com/sites/TestMigration1/TM1Subsite3","30","4/29/2021 6:25:40 PM","http://spfarm.eastus2.cloudapp.azure.com/sites/TestMigration1/TM1Subsite3/TestLib2","TestLib2","CONTOSO\migadmin"
"TM1 Subsite 3","http://spfarm.eastus2.cloudapp.azure.com/sites/TestMigration1/TM1Subsite3","2","4/29/2021 6:25:28 PM","http://spfarm.eastus2.cloudapp.azure.com/sites/TestMigration1/TM1Subsite3/Lists/TestList1","TestList1","CONTOSO\migadmin"
"EyTestSite0426","http://spfarm.eastus2.cloudapp.azure.com/sites/TestMigration1/TMSubsite2","0","4/27/2021 5:15:23 PM","http://spfarm.eastus2.cloudapp.azure.com/sites/TestMigration1/TMSubsite2/Shared Documents","Documents","CONTOSO\migadmin"
"EyTestSite0426","http://spfarm.eastus2.cloudapp.azure.com/sites/TestMigration1/TMSubsite2","0","4/27/2021 5:15:31 PM","http://spfarm.eastus2.cloudapp.azure.com/sites/TestMigration1/TMSubsite2/FormServerTemplates","Form Templates","CONTOSO\migadmin"
"EyTestSite0426","http://spfarm.eastus2.cloudapp.azure.com/sites/TestMigration1/TMSubsite2","2","4/27/2021 5:15:36 PM","http://spfarm.eastus2.cloudapp.azure.com/sites/TestMigration1/TMSubsite2/SitePages","Site Pages","CONTOSO\migadmin"
"EyTestSite0426","http://spfarm.eastus2.cloudapp.azure.com/sites/TestMigration1/TMSubsite2","12","4/27/2021 5:15:22 PM","http://spfarm.eastus2.cloudapp.azure.com/sites/TestMigration1/TMSubsite2/TestDoc","TestDoc","CONTOSO\migadmin"
