"ListName","ItemCount"
"Access Requests","0"
"appdata","0"
"appfiles","0"
"Approval Steps","0"
"Approval Workflows","0"
"ASB Bank Limited - PASVIC-20 Exec Rem_Library","5"
"ASB Bank Limited - PASVIC-20 Exec Rem_Tasks","0"
"ASB Bank Limited - PASVIC-20 Exec Rem_Tools","5"
"Composed Looks","18"
"Connected Libraries","1"
"Connected Lists","0"
"Converted Forms","0"
"Document Copy Audit","0"
"EDLWorkflowHistory","0"
"Engagement Library Status","1"
"EYI My Docs Workflow Mapping","0"
"EYI My Docs Workflow Task","0"
"Form Templates","0"
"GEAR Document Links","0"
"List Template Gallery","0"
"Maintenance Log Library","2"
"Master Page Gallery","223"
"MicroFeed","2"
"Project Policy Item List","0"
"Search Config List","0"
"Site Assets","35"
"Site Pages","10"
"SiteOwnerPanelConfig","0"
"Solution Gallery","0"
"Style Library","5"
"TaxonomyHiddenList","4"
"Theme Gallery","43"
"User Information List","54"
"Web Part Gallery","72"
"Web Template Extensions","10"
"wfpub","21"
"Workspace Reports Library","0"
