"Id;DestinationSite;	"
15;https://tdm.ey.net/sites/fa8e97285cc24c08a9fd792d8aac3df4;
16;https://tdm.ey.net/sites/039fa81fe02e4e75904300d393dedda9;
17;https://tdm.ey.net/sites/47d1f5b5ffd94fa1bbabdd2d6c95493a;
19;https://tdm.ey.net/sites/d17669c7a78548e7bf30407bd0ce3a6c;
20;https://tdm.ey.net/sites/e34b2256b3844f8a825025168f9dbcfa;
21;https://tdm.ey.net/sites/139de447fbb046109dc7dd7f0a2d4ed8;
28;https://tdm.ey.net/sites/2f79ced895254cdab0623c91dc227b51;
29;https://tdm.ey.net/sites/4bbe77b5e20a49d5a473f5c4fd81ec84;
30;https://tdm.ey.net/sites/4ccd3de2ecde45a691984f7ce8c6a84a;
31;https://tdm.ey.net/sites/9aef6c503ccb4945926c12fc442fdbf0;
32;https://tdm.ey.net/sites/ac98cf70ceb14c9ba9c6a1ab06c5aac6;
33;https://tdm.ey.net/sites/b2257c17544a405199d4cb4e7452b8a7;
34;https://tdm.ey.net/sites/b90647aac3a74fde86aad8913bab3dc5;
35;https://tdm.ey.net/sites/dad6a44ad03a4ed99d599bb24b3f3332;
36;https://tdm.ey.net/sites/f496dcc9f0de4081baeeba7e2680c323;
45;https://tdm.ey.net/sites/e0f7de6d59c240b8a52cf13847293f02;
