"Type","Name","URL","Inheritance","User/group","Principaltype","Accountname","Permissions","TargetURL","DesURL"
"Site","ACCESS HUMAN TALENT PTY LTD - WA_PCS_18/Access Human Talent Unit Trust","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54","Custom","(Internal) Team Member Restricted","SharePoint group","(Internal) Team Member Restricted","Team Member Restricted;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm"
"Site","ACCESS HUMAN TALENT PTY LTD - WA_PCS_18/Access Human Talent Unit Trust","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54","Custom","(Internal) Team Members","SharePoint group","(Internal) Team Members","Team Member;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm"
"Site","ACCESS HUMAN TALENT PTY LTD - WA_PCS_18/Access Human Talent Unit Trust","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54","Custom","Business Unit Access","SharePoint group","Business Unit Access","Business Unit Access;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm"
"Site","ACCESS HUMAN TALENT PTY LTD - WA_PCS_18/Access Human Talent Unit Trust","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54","Custom","Engagement Home Members","SharePoint group","Engagement Home Members","Edit;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm"
"Site","ACCESS HUMAN TALENT PTY LTD - WA_PCS_18/Access Human Talent Unit Trust","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54","Custom","Engagement Home Owners","SharePoint group","Engagement Home Owners","Full Control;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm"
"Site","ACCESS HUMAN TALENT PTY LTD - WA_PCS_18/Access Human Talent Unit Trust","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54","Custom","Engagement Home Visitors","SharePoint group","Engagement Home Visitors","Read;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm"
"Site","ACCESS HUMAN TALENT PTY LTD - WA_PCS_18/Access Human Talent Unit Trust","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54","Custom","eViewer Contributor","SharePoint group","eViewer Contributor","eViewer Contributor;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm"
"Site","ACCESS HUMAN TALENT PTY LTD - WA_PCS_18/Access Human Talent Unit Trust","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54","Custom","Excel Services Viewers","SharePoint group","Excel Services Viewers","View Only;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm"
"Site","ACCESS HUMAN TALENT PTY LTD - WA_PCS_18/Access Human Talent Unit Trust","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54","Custom","Scan To Library Contributor","SharePoint group","Scan To Library Contributor","Contribute;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm"
"Site","ACCESS HUMAN TALENT PTY LTD - WA_PCS_18/Access Human Talent Unit Trust","https://au.eyonespace.ey.net/sites/1a3aa1c987864f36be074cd9ee98ca54","Custom","Tax Engagement Owners","SharePoint group","Tax Engagement Owners","Tax Engagement Owner;","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm","https://eyaustralia.sharepoint.com/sites/eyimdaus-0001364-mm"
